  0, 56,0.92793
  1, 12,0.99999
  1, 34,0.99999
  1, 35,0.99999
  1, 43,0.99828
  1, 45,0.99999
  1, 48,0.99757
  1, 58,0.99998
  1, 66,0.99999
  1, 71,1.00000
  1, 76,0.99999
  1, 86,0.99863
  1,103,1.00000
  1,127,1.00000
  3,  8,0.92949
  3, 39,0.86273
  3, 79,0.98794
  3,102,0.86065
  3,104,0.98336
  5,  7,0.99354
  5, 13,0.94779
  5, 51,0.90803
  5, 70,0.90224
  6, 39,0.85703
  6,102,0.91211
  6,115,0.94870
  7, 13,0.95366
  7, 51,0.91341
  7, 70,0.90755
  8, 55,0.86847
  8, 62,0.86047
  8, 79,0.94014
  8,104,0.91512
  9, 21,1.00000
  9,100,1.00000
  9,128,0.99994
 12, 34,1.00000
 12, 35,0.99998
 12, 43,0.99828
 12, 45,1.00000
 12, 48,0.99756
 12, 58,0.99997
 12, 66,1.00000
 12, 71,1.00000
 12, 76,1.00000
 12, 86,0.99862
 12,103,0.99999
 12,127,0.99999
 13, 51,0.95578
 13, 70,0.94936
 13, 80,0.86023
 15, 20,0.85876
 15, 92,0.90672
 16, 89,0.87550
 17, 59,0.99243
 17,101,0.86370
 17,111,0.85009
 19, 20,0.92013
 19, 27,0.86269
 19, 38,0.99982
 19, 60,0.99997
 19, 69,0.91563
 19, 78,0.99998
 19, 90,0.99996
 19, 97,0.99997
 19,109,0.99997
 19,122,0.91038
 20, 38,0.92014
 20, 60,0.92013
 20, 69,0.88783
 20, 78,0.92013
 20, 90,0.92013
 20, 97,0.92013
 20,109,0.92013
 20,122,0.88420
 21,100,0.99999
 21,128,0.99993
 22, 23,1.00000
 22, 25,0.99999
 22, 28,1.00000
 22, 42,0.99999
 22, 46,1.00000
 22, 85,1.00000
 22, 95,0.99998
 22,106,0.99999
 22,110,0.87552
 23, 25,0.99999
 23, 28,1.00000
 23, 42,0.99999
 23, 46,1.00000
 23, 85,1.00000
 23, 95,0.99998
 23,106,0.99999
 23,110,0.87552
 24, 29,0.89584
 24,117,0.94706
 24,121,0.89956
 25, 28,0.99999
 25, 42,1.00000
 25, 46,0.99999
 25, 85,0.99999
 25, 95,0.99999
 25,106,1.00000
 25,110,0.87552
 26, 30,0.87330
 26, 40,0.87330
 26, 44,0.87330
 26, 63,0.87330
 26, 72,0.87331
 26, 94,0.87330
 26,107,0.87330
 27, 38,0.86271
 27, 60,0.86269
 27, 78,0.86269
 27, 89,0.90508
 27, 90,0.86269
 27, 91,0.88056
 27, 97,0.86269
 27,109,0.86269
 28, 42,0.99999
 28, 46,1.00000
 28, 85,1.00000
