A000210,K000367,8.865078e-01
A000361,A000367,9.523159e-01
A000361,A000375,9.525465e-01
A000361,B000013,9.515007e-01
A000361,B001262,9.755942e-01
A000361,B001273,9.468645e-01
A000361,B001274,9.468645e-01
A000361,B001279,9.524681e-01
A000361,B001280,8.630086e-01
A000361,B001282,9.468640e-01
A000361,B001289,9.412551e-01
A000361,B001297,9.537127e-01
A000361,B001301,9.522236e-01
A000361,C000286,9.468643e-01
A000361,C000560,9.468639e-01
A000361,C000754,9.508359e-01
A000361,C001059,8.559133e-01
A000361,C001062,9.506422e-01
A000361,C001076,8.678760e-01
A000361,C001077,9.468639e-01
A000361,D000614,8.934150e-01
A000361,D000615,9.468639e-01
A000361,D000621,9.468645e-01
A000361,D000626,9.536496e-01
A000361,D000628,9.518147e-01
A000361,E000295,8.636385e-01
A000361,F000448,9.468638e-01
A000361,F000461,9.505642e-01
A000361,G000548,9.116509e-01
A000361,G000552,9.468644e-01
A000361,G000560,9.521384e-01
A000361,G000572,8.725331e-01
A000361,H001036,9.520069e-01
A000361,H001050,9.523361e-01
A000361,H001060,9.511977e-01
A000361,H001072,9.512243e-01
A000361,H001074,9.543693e-01
A000361,J000174,9.468642e-01
A000361,J000255,9.468638e-01
A000361,J000295,9.511095e-01
A000361,K000220,9.527240e-01
A000361,K000388,9.529682e-01
A000361,L000569,9.052808e-01
A000361,L000575,9.150156e-01
A000361,L000583,9.524539e-01
A000361,M001139,9.504053e-01
A000361,M001144,9.468639e-01
A000361,M001156,8.704105e-01
A000361,M001182,9.503993e-01
A000361,M001191,8.686715e-01
A000361,N000182,9.506513e-01
A000361,N000185,9.515609e-01
A000361,N000186,9.517954e-01
A000361,O000168,9.468644e-01
A000361,O000170,9.468644e-01
A000361,P000609,9.538973e-01
A000361,R000575,9.526933e-01
A000361,R000589,9.468645e-01
A000361,R000591,9.527039e-01
A000361,R000593,9.044598e-01
A000361,R000596,9.525717e-01
A000361,R000598,9.468638e-01
A000361,R000605,9.363015e-01
A000361,S000051,9.468644e-01
A000361,S001187,9.468642e-01
A000361,S001188,9.523935e-01
A000361,S001189,9.468646e-01
A000361,S001191,9.468639e-01
A000361,S001202,8.502353e-01
A000361,W000795,9.468640e-01
A000361,W000796,9.513777e-01
A000361,W000806,9.509915e-01
A000361,W000810,9.506909e-01
A000361,W000813,9.468639e-01
A000361,W000816,9.512534e-01
A000361,Y000031,9.555762e-01
A000361,Y000063,9.521048e-01
A000361,Y000065,9.468639e-01
A000367,A000375,9.994368e-01
A000367,B000013,9.980627e-01
A000367,B001262,9.374285e-01
A000367,B001273,9.887178e-01
A000367,B001274,9.887178e-01
A000367,B001279,9.996229e-01
A000367,B001280,8.684594e-01
A000367,B001282,9.887177e-01
A000367,B001289,9.643601e-01
A000367,B001297,9.963335e-01
A000367,B001301,9.997747e-01
A000367,C000286,9.887177e-01
A000367,C000560,9.887177e-01
A000367,C000754,9.965693e-01
A000367,C001059,8.611914e-01
A000367,C001062,9.961470e-01
A000367,C001076,8.740575e-01
A000367,C001077,9.887177e-01
A000367,D000614,9.030492e-01
A000367,D000615,9.887177e-01
A000367,D000621,9.887178e-01
A000367,D000626,9.965116e-01
