L000174,M001170,0.99862
L000174,S000033,1.00000
L000174,W000817,1.00000
L000261,P000612,0.99996
L000261,S001141,0.99997
M000133,M001170,0.99862
M000133,S000033,0.99999
M000133,W000817,0.99999
M000355,P000449,0.99999
M000355,R000307,0.99999
M000355,S001184,0.99999
M000355,W000437,0.91038
M000639,R000605,0.85176
M000639,S000148,0.97170
M000702,S001181,0.94748
M001111,S001194,0.85677
M001169,R000122,0.99998
M001169,S000770,0.99999
M001169,S001194,0.87552
M001170,S000033,0.99863
M001170,W000817,0.99863
N000032,P000590,0.88609
P000449,R000307,1.00000
P000449,S001184,0.99999
P000449,W000437,0.91038
P000590,V000127,0.86858
P000612,S001141,0.99999
R000122,S000770,0.99999
R000122,S001194,0.87552
R000307,S001184,1.00000
R000307,W000437,0.91038
R000584,W000818,0.99994
R000595,S001197,0.98167
R000605,S000148,0.87329
R000605,T000461,0.95938
S000033,W000817,1.00000
S000770,S001194,0.87552
S001184,W000437,0.91038
T000476,V000128,0.85668
